,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
512,graph_512,100,8.151909872940905,1,-2.506917945950557,0.701010101010101,4.07753744390572,0.42,-0.47115416,0.3138860798800869,(0.3865222617449482+0j),(0.14666595287570727+0j),(-0.24903167864901724+0j),1,2,0.6931471805599453,3,4.587807663666847,0.7851936878705479,1.235262878385555,0.6703169689247602,0.2379,0.9899,0.9817,0.9986883566967024,0.028483509910053384
513,graph_513,100,8.08886878916199,1,-2.514681292981105,0.6581818181818182,4.007333185232471,0.46,-0.5089163,0.3539706046586737,(0.41258040988058886+0j),(0.1456060573138367+0j),(-0.26779113347681655+0j),1,2,0.6931471805599453,3,4.588197430225772,0.7515415010072366,1.232824427480916,0.6939840938531968,0.2527,0.99,0.9881,0.9999915180131769,0.00015739217602256747
514,graph_514,100,8.104401307921613,1,-2.512762900534107,0.6684848484848485,3.9889840465642745,0.47,-0.50257191,0.33882341957995177,(0.4081407523897197+0j),(0.15288881624527467+0j),(-0.26359565672481894+0j),1,2,0.6931471805599453,3,4.588076059471848,0.7580899401011217,1.229978354978355,0.6881233303402855,0.2396,0.9894,0.9789,0.9841492760169475,0.08339204497740717
515,graph_515,100,8.150179269682326,1,-2.5071302626971947,0.6997979797979798,4.04305126783455,0.44,-0.4734414,0.31235181406720436,(0.3880204167698122+0j),(0.1498913923168081+0j),(-0.2571241695049451+0j),1,2,0.6931471805599453,3,4.5878168122980165,0.7841838330577774,1.2072727272727273,0.6709007020231487,0.2601,0.9899,0.98,0.9987951670525543,0.026201858281635446
516,graph_516,100,8.162801353492073,1,-2.505582772803081,0.7086868686868687,4.04305126783455,0.44,-0.46813928,0.3012515059611396,(0.3847697134478399+0j),(0.15531379345982033+0j),(-0.23339463525151669+0j),1,2,0.6931471805599453,3,4.587683283552188,0.7886273264029621,1.204018547140649,0.66626287114139,0.2461,0.9898,0.9758,0.9863740935315651,0.08899359759270845
517,graph_517,100,8.149601735736155,1,-2.50720112671018,0.6993939393939393,4.04305126783455,0.44,-0.46768707,0.29310938513111573,(0.3842744489564366+0j),(0.16164173127933948+0j),(-0.2566965843369984+0j),1,2,0.6931471805599453,3,4.587849373041348,0.7871049540394907,1.1935651271406331,0.6643551709550164,0.2373,0.9899,0.9783,0.9984266932090007,0.022187842128939223
518,graph_518,100,8.175547596021026,1,-2.504022487225362,0.7177777777777777,4.0943445622221,0.41,-0.44828159,0.2884307422607266,(0.3706829600845803+0j),(0.1486725207085489+0j),(-0.26031023323521324+0j),1,2,0.6931471805599453,3,4.587724609392117,0.8032554239146795,1.189769820971867,0.6546580290802819,0.2537,0.99,0.9886,0.9996887457741614,0.007375796140310784
519,graph_519,100,8.17948018535889,1,-2.5035415844147737,0.7206060606060606,4.060443010546419,0.43,-0.4488626,0.2830578193759974,(0.37125040554404726+0j),(0.15399768205887288+0j),(-0.24993366483390675+0j),1,2,0.6931471805599453,3,4.587658076478044,0.8030191340021153,1.1828774062816616,0.6546119106311242,0.2407,0.9898,0.989,0.999331612521102,0.010731756671683048
520,graph_520,100,7.6487397889562425,1,-2.5706292851894674,0.42383838383838385,3.6109179126442243,0.64,-0.61634648,0.33434980037618334,(0.48656168572573116+0j),(0.2564728216387496+0j),(-0.39510065595141625+0j),1,2,0.6931471805599453,3,4.591600381437728,0.6124682554034611,1.1697147037307971,0.7621544279269281,0.2556,0.99,0.9899,0.9992063853666057,0.015348150099774215
521,graph_521,100,7.91644286012226,1,-2.5362282148755093,0.553939393939394,3.828641396489095,0.53,-0.57401333,0.3880031052478834,(0.45732124975791844+0j),(0.17549264234932097+0j),(-0.2745729482529651+0j),1,2,0.6931471805599453,3,4.5892990288453985,0.6783580315397416,1.1470588235294117,0.7396061202827207,0.2319,0.99,0.9898,1.0000000089668541,0.0
